Usuario,Nombre del libro,Género ,Saga,NºSaga,Autoconclusivo,Valoración,Fecha,Mes,Reseña
Ana,El alma del brujo,Fantasía,El Vals de la Bruja,2/3,No,⭐️⭐️⭐️,25/03/2026,01/03/2026,
Ana,Llamas,Romance,Sky Ridge Hotshots,2/3,Si,⭐️⭐️⭐️⭐️,29/03/2026,01/03/2026,
Ana,Pasajero 23,Thriller,,,Si,⭐️⭐️⭐️⭐️,01/04/2026,01/04/2026,
Ana,En su propia liga,Romance,,,Si,⭐️⭐️⭐️⭐️,04/04/2026,01/04/2026,
Ana,Donde no mueran las flores,Fantasía ,,,Si,⭐️⭐️⭐️,05/04/2026,01/04/2026,
Ana,Ecos de tormenta,Romantasy,Legado I,1/2,No,⭐️⭐️⭐️,08/04/2026,01/04/2026,
Ana,El imperio del vampiro,Fantasía,El imperio del vampiro,1/3,No,⭐️⭐️⭐️⭐️,12/04/2026,01/04/2026,
Bea,Cómo terminar una historia de amor,Romance,,,Si,⭐️⭐️⭐️⭐️,,03/2026,
Bea,Book lovers,Romance,,,Si,⭐️⭐️⭐️⭐️⭐️,,03/2026,
Bea,El alma del brujo,Fantasía,El Vals de la Bruja,2/3,No,⭐️⭐️⭐️⭐️,,03/2026,
Bea,Juego de dos,Romance,,,Si,⭐️⭐️⭐️,,03/2026,
Bea,En su propia liga,Romance,,,Si,⭐️⭐️⭐️⭐️,,03/2026,
Bea,Pasajero 23,Thriller,,,Si,⭐️⭐️⭐️⭐️,,04/2026,
Bea,Ecos de tormenta,Romantasy,Legado I,1/2,No,⭐️⭐️⭐️,,04/2026,
Bea,El último barco,Policiaco,Inspector Leo Caldas,3/3,No,⭐️⭐️⭐️⭐️,,04/2026,
Cris Mármol,Pasajero 23,Thriller,,,Si,⭐️⭐️⭐️⭐️,,04/2026,
Cristina Moreno,El priorato del naranjo,Fantasía ,Las raíces del caos,1/3,No,⭐️⭐️⭐️⭐️,30/03/2026,03/2026,
Cristina Moreno,Amiga mía,Drama,,,Si,⭐️⭐️⭐️,31/03/2026,03/2026,
Cristina Moreno,Pasajero 23,Thriller,,,Si,⭐️⭐️⭐️,05/04/2026,04/2026,
Cristina Moreno,Ecos de tormenta,Romantasy ,Legado I,1/2,No,⭐️⭐️⭐️⭐️,10/04/2026,04/2026,
Silvia,Cómo terminar una historia de amor,Romance,,,Si,⭐️⭐️⭐️⭐️⭐️,,03/2026,
Silvia,Book lovers,Romance,,,Si,⭐️⭐️⭐️⭐️⭐️,,03/2026,
Silvia ,Ecos de tormenta,Romantasy ,Legado I,1/2,No,⭐️⭐️⭐️,,04/2026,
Ana,Distracción ,Dark Romance,Serie Mindf*ck,2/5,No,⭐️⭐️⭐️⭐️,15/04/2026 9:57:08,01/04/2026,
Ana,Peligro,Dark Romance,Serie Mindf*ck,1/5,No,⭐️⭐️⭐️⭐️⭐️,15/04/2026 9:57:08,01/04/2026,
Bea,Heartless,Romance,Chestnut Springs,2/4,No,⭐️⭐️⭐️,15/04/2026 11:27:06,01/04/2026,
Ana,Black River,Fantasia,,,Si,😞,15/04/2026 11:41:18,01/04/2026,
Bea,Angelique,Novela Negra,,,Si,⭐️⭐️⭐️⭐️,15/04/2026 18:09:27,01/04/2026,
Cristina Moreno,Los ingratos,Drama,,,Si,⭐️⭐️⭐️⭐️⭐️,16/04/2026 9:57:08,01/04/2026,
Bea,Los diablos,Grimdark,,,Si,😞,17/04/2026 9:57:09,01/04/2026,
Ana,Flawless,Romance,Chestnut Springs,1/4,No,😞,17/04/2026 21:45:08,01/04/2026,
Bea,Peligro,Dark Romance,Serie Mindf*ck,1/5,No,⭐️⭐️⭐️⭐️,18/04/2026 11:43:56,01/04/2026,
Bea,Flawless,Romance,Chestnut Spring,1/5,No,😞,19/04/2026 9:57:14,01/04/2026,
Mery,Pasajero 23,Thriller ,,,Si,⭐️⭐️⭐️⭐️,01/04/2026,01/04/2026,
Bea,Distracción,Dark Romance,Serie Mindf*ck,2/5,No,⭐️⭐️⭐️⭐️,20/04/2026 19:52:28,04/2026,
Mery,Distracción ,Dark Romance,Serie Mindf*ck,2/5,No,⭐️⭐️⭐️⭐️,19/04/2026,04/2026,
Mery,En su propia liga,Romance ,,,Si,⭐️⭐️⭐️⭐️,31/03/2026,03/2026,
Mery,Los ingratos ,Drama,,,Si,⭐️⭐️⭐️⭐️⭐️,18/04/2026,04/2026,
Mery ,Peligro ,Dark Romance,Serie Mindf*ck,1/5,No,⭐️⭐️⭐️⭐️,03/04/2026,04/2026,
Mery,Cuando despierten las flores,Romance,,,Si,⭐️⭐️⭐️⭐️,15/04/2026,04/2026,
Mery,Flawless,Romance,Chestnut Spings,1/5,No,⭐️⭐️⭐️⭐️,04/04/2026,04/2026,
Mery,Heartless,Romance,Chestnut Spings,2/5,No,⭐️⭐️⭐️⭐️⭐️,06/04/2026,04/2026,
Mery,Hopeless,Romance,Chestnut Spings,5/5,No,⭐️⭐️⭐️⭐️,13/04/2026,04/2026,
Mery,Powerless,Romance,Chestnut Spings,3/5,No,⭐️⭐️⭐️,07/04/2026,04/2026,
Mery,Reckless,Romance,Chestnut Spings,4/5,No,⭐️⭐️⭐️⭐️,11/04/2026,04/2026,
Mery,Todos los deseos que escribí sin ti,Romance,,,Si,⭐️⭐️⭐️,22/04/2026,04/2026,
Cris Mármol ,Anatema,Romantasy,El bosque voraz,1/3,No,⭐️⭐️⭐️⭐️,23/04/2026,04/2026,
Ana,Piel de Pecado,Dark Romance,,,Si,⭐️⭐️,23/04/2026,04/2026,
Mery,La muy catastrófica visita al zoo,Novela contemporánea,,,Si,⭐️⭐️⭐️,24/04/2026,04/2026,
Cris Mármol ,Brujería para chicas descarriadas,Terror,,,Si,⭐️⭐️⭐️,25/04/2026,04/2026,
Bea,Ciudad de Jade,Fantasía,Los huesos verdes,1/3,No,⭐️⭐️⭐️⭐️⭐️,26/04/2026,04/2026,
Bea,La huella de la noche,Thriller,,,Si,⭐️⭐️⭐️⭐️,26/04/2026,04/2026,
Mery,Los días perfectos,Novela contemporánea,,,Si,⭐️⭐️⭐️⭐️,27/04/2026,04/2026,
Cristina Moreno,Ciudad de Jade,Fantasía ,Los huesos verdes,1/3,No,⭐️⭐️⭐️⭐️⭐️,27/04/2026,04/2026,
Mery,Todos queremos cosas imposibles,Novela contemporánea,,,Si,⭐️⭐️⭐️⭐️,28/04/2026,04/2026,
Cristina Moreno,Han cantado bingo,Novela contemporánea,,,Si,⭐️⭐️⭐️⭐️,29/04/2026,04/2026,
Ana,Anatema,Romantasy,El bosque voraz,1/3,No,⭐️⭐️⭐️⭐️,01/05/2026,05/2026,
Bea,Anatema,Romantasy,El bosque voraz,1/3,No,⭐️⭐️⭐️,01/05/2026,05/2026,
Mery,El retorno,Thriller,,,Si,⭐️⭐️⭐️⭐️,06/05/2026,05/2026,
Bea,El retorno,Thriller,,,Si,⭐️⭐️⭐️⭐️,06/05/2026,05/2026,
Cristina Moreno,Actos humanos,Novela contemporánea,,,Si,⭐️⭐️⭐️,06/05/2026,05/2026,
Ana,El retorno,Thriller,,,Si,⭐️⭐️⭐️⭐️,08/05/2026,05/2026,
Mery,Todo va a ir bien,Novela contemporánea,,,Si,⭐️⭐️⭐️⭐️,09/05/2026,05/2026,
Mery,Ángel Escarlata,Dark Romance,Serie Mindf*ck,3/5,No,⭐️⭐️⭐️⭐️,09/05/2026,05/2026,
Ana,Ángel Escarlata,Dark Romance,Serie Mindf*ck,3/5,No,⭐️⭐️⭐️⭐️⭐️,09/05/2026,05/2026,
Bea,Ángel Escarlata,Romance,Serie Mindf*ck,3/5,No,⭐️⭐️⭐️⭐️,11/05/2026,05/2026,
Ana,Nightshade,Dark Romance,Universidad Sorrowsong ,1/2,No,⭐️⭐️⭐️⭐️⭐️,14/05/2026,05/2026,
Bea,Guerra de jade,Fantasía,Los huesos verdes,2/3,No,⭐️⭐️⭐️⭐️,15/05/2026,05/2026,
Cristina Moreno,Guerra de jade,Fantasía,Los huesos verdes,2/3,No,⭐️⭐️⭐️⭐️⭐️,17/05/2026,05/2026,
Mery,El alma del brujo,Fantasía ,El Vals de la Bruja,2/3,No,⭐️⭐️⭐️⭐️,17/05/2026,05/2026,
Cristina Moreno,Peligro,Dark Romance,Serie Mindf*ck,1/5,No,⭐️⭐️⭐️⭐️,19/05/2026,05/2026,
Mery,La caída de las brujas,Fantasía ,El Vals de la Bruja ,3/3,Si,⭐️⭐️⭐️⭐️,20/05/2026,05/2026,
Cristina Moreno,Distracción,Dark Romance,Serie Mindf*ck,2/5,No,⭐️⭐️⭐️,22/05/2026,05/2026,
Mery,La última carta,Romance,,,Si,⭐️⭐️⭐️⭐️,22/05/2026,05/2026,
Ana,La caída de las brujas,Fantasía,El Vals de la Bruja,3/3,No,⭐️⭐️⭐️⭐️,23/05/2026,05/2026,
Bea,Prohibido enamorarse,Romance,Saga Kiss Me,1/5,No,⭐️⭐️⭐️,23/05/2026,05/2026,
Bea,Objetivo tu y yo,Romance,Serie Kiss me,2/5,No,⭐️⭐️⭐️,24/05/2026,05/2026,
Mery,Aún no estoy muerta,Thriller,,,Si,⭐️⭐️⭐️⭐️,25/05/2026,05/2026,
Ana,Oscura,Romantasy,El bosque voraz,2/5,No,⭐️⭐️⭐️⭐️,26/05/2026,05/2026,
Ana,Prohibido enamorarse,Romance,Saga Kiss Me,1/5,Si,⭐️⭐️⭐️⭐️,26/05/2026,05/2026,
Cristina Moreno,Prohibido enamorarse,Romance,Saga Kiss Me,1/5,Si,⭐️⭐️,26/05/2026,05/2026,
Bea,La caída de las brujas,Fantasía,El Vals de la Bruja,3/3,No,⭐️⭐️⭐️⭐️,26/05/2026,05/2026,
Ana,La hipótesis del amor,Romance,La hipótesis del amor,1/3,No,⭐️⭐️⭐️⭐️,29/05/2026,05/2026,
Mery,Los siguientes,Drama,,,Si,⭐️⭐️⭐️⭐️⭐️,31/05/2026,05/2026,
Mery,Regreso a Summer Island,Novela contemporánea,,,Si,⭐️⭐️⭐️,31/05/2026,05/2026,
Cris Mármol ,El retorno,Thriller,,,Si,⭐️⭐️⭐️⭐️,01/06/2026,06/2026,
Bea,Legado de jade,Fantasía,Los huesos verdes,3/3,No,⭐️⭐️⭐️⭐️⭐️,03/06/2026,06/2026,
Ana,La química del amor,Romance,La hipótesis del amor,2/3,No,⭐️⭐️⭐️⭐️,05/06/2026,06/2026,
Mery,Bourbon lullaby,Romance,Bourbon Canyon,1/7,No,⭐️⭐️⭐️,07/06/2026,06/2026,
Mery,Mentiras,Dark Romance,Serie Mindf*ck,4/5,No,⭐️⭐️⭐️⭐️,07/06/2026,06/2026,
Ana,Mentiras,Dark Romance,Mindf*ck,4/5,No,⭐️⭐️⭐️⭐️,08/06/2026,06/2026,
Bea,Mentiras,Dark Romance,Mindfuck ,4/5,No,⭐️⭐️⭐️⭐️,11/06/2026,06/2026,
Marian,Punt d'aranya,Novela contemporánea,,,Si,⭐️⭐️⭐️⭐️,11/06/2026,06/2026,
Bea,Despierta,Ciencia Ficción,Across the universe,1/3,No,⭐️⭐️⭐️,11/06/2026,06/2026,
Cristina Moreno,Legado de jade,Fantasía,Los huesos verdes,3/3,No,⭐️⭐️⭐️⭐️⭐️,15/06/2026,06/2026,
Bea,Donde canta la oscuridad,Fantasía,,,Si,⭐️⭐️⭐️,16/06/2026,06/2026,
Ana,Donde canta la oscuridad,Fantasía,,,Si,⭐️⭐️⭐️⭐️,17/06/2026,06/2026,
Ana,Feral,Fantasía,,,Si,⭐️⭐️⭐️⭐️⭐️,19/06/2026,06/2026,
Cristina Moreno,La hipótesis del amor,Romance,,,Si,⭐️⭐️⭐️⭐️⭐️,21/06/2026,06/2026,
Bea,El dios de los bosques,Thriller ,,,Si,⭐️⭐️⭐️⭐️,22/06/2026,06/2026,
Bea,Feral,Fantasía,,,Si,⭐️⭐️⭐️,22/06/2026,06/2026,
Ana,God of wrath,Dark Romance,Legado de dioses,3/6,No,⭐️⭐️⭐️⭐️,24/06/2026,06/2026,
Cris Mármol ,Donde canta la oscuridad,Fantasía,,,Si,⭐️⭐️⭐️⭐️,24/06/2026,06/2026,
Cris Mármol ,Una corona de huesos dorados,Romantasy,De sangre y cenizas,3/8,No,⭐️⭐️⭐️⭐️,24/06/2026,06/2026,
Cristina Moreno,Ángel Escarlata,Dark Romance,Serie Mindf*ck,3/5,No,⭐️⭐️⭐️,26/06/2026,06/2026,
Bea,El asesino de la montaña ,Thriller,,,Si,⭐️⭐️⭐️⭐️,27/06/2026,06/2026,
Bea,El amor ha muerto,Romance,,,Si,⭐️⭐️⭐️⭐️,29/06/2026,06/2026,
Marian ,Donde canta la oscuridad ,Romantasy,,,,⭐️⭐️⭐️⭐️,30/06/2026,06/2026,
Ana,God of Ruin,Dark Romance,Legado de Dioses,4/6,No,⭐️⭐️⭐️,30/06/2026,06/2026,
Silvia ,El dios de los bosques,Thriller,,,Si,⭐️⭐️⭐️⭐️,01/07/2026,07/2026,
Bea,La mujer de verde,Thriller,,,Si,⭐️⭐️⭐️⭐️,02/07/2026,07/2026,
Silvia ,Hasta que caiga la luna,Romantasy,Moonfall,1/2,No,⭐️⭐️⭐️,01/07/2026,07/2026,
Bea,Rojo sangre,Dark Romance,Mindfuck ,5/05/2026,No,⭐️⭐️⭐️,03/07/2026,07/2026,
Cristina Moreno,Mentiras,Dark Romance,Serie Mindf*ck,4/5,No,⭐️⭐️⭐️,04/07/2026,07/2026,
Cristina Moreno,Un amigo gratis,Romance,,,Si,⭐️⭐️⭐️,4/07/2026 18:21:03,07/2026,
Cris Mármol ,La balada de las tres lunas,Fantasía,,,Si,⭐️⭐️,04/07/2026,07/2026,
Bea,El priorato del naranjo,Fantasía,,,Si,⭐️⭐️⭐️⭐️,04/07/2026,07/2026,
Ana,Rojo sangre,Dark Romance,Serie Mindf*ck,5/5,No,⭐️⭐️⭐️⭐️⭐️,6/07/2026 14:50:04,07/2026,
Marian,Foto por privado,Drama,,,Si,⭐️⭐️⭐️,7/07/2026 8:48:07,06/2026,
Marian,Los destrozos,Drama,,,Si,⭐️⭐️⭐️⭐️,7/07/2026 8:57:37,03/2026,
Marian,La guerra de la amapola,Fantasía,La guerra de la amapola,1/03/2026,No,⭐️⭐️⭐️⭐️⭐️,7/07/2026 8:57:58,04/2026,
Marian,Los incomprendidos,Drama,,,Si,⭐️⭐️⭐️,7/07/2026 9:00:46,05/2026,
Bea,Hasta que caiga la luna,Romantasy,Moonfall,1/2,No,⭐️⭐️⭐️⭐️,7/07/2026 9:31:41,07/2026,
Marian ,Inventario de lo que queda..,Novela contemporánea,,,Si,⭐️⭐️⭐️,7/07/2026 9:31:41,07/2026,
Cristina Moreno,libro de prueba,Fantasía,,,Si,⭐️⭐️⭐️⭐️⭐️,7/07/2026 20:59:46,07/2026,buen libro
